id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
3769,8769,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8769,https://gateway.pinata.cloud/ipfs/QmfPE2LqvRVr9KyAeunzJpB1CWtneEfSjio3hQ3mmrKxqC,Dodger Blue Background,Purple Prism Wings,Scaly Taipan Dragon,Chain Link Scales,Banana Tail,Twirling Chameleon Ears,Focused Eyes,Ecstatic Mouth,Mountain Ram Horns,Sparky Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:19:08.049+05,2021-10-17 18:19:08.049+05
3770,8770,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8770,https://gateway.pinata.cloud/ipfs/QmQU4CsHKvVCHmVV7ecHVudHSgd5VRjBTFAT9n6xJNYBQQ,Chartreuse Background,Azure Wings,Fuscia Daisy Dragon,Checker Scales,Scope Tail,Thought Bubble Ears,Inquisitive Eyes,Gratified Mouth,Orange Ram Horns,Fin Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:08.05+05,2021-10-17 18:19:08.05+05
3771,8771,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8771,https://gateway.pinata.cloud/ipfs/QmekSpTLx2mrb4Md12dUeHiYZMWaE8UXsc1pEfqSF38R3M,Aurora Dark Pink Background,Angelic Blue Wings,Scaly Taipan Dragon,Swirling Scales,Golden Snake Tail,Twirling Chameleon Ears,Sharp Eyes,Lucky Mouth,Moose Horns,Vision Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:19:08.051+05,2021-10-17 18:19:08.051+05
3772,8772,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8772,https://gateway.pinata.cloud/ipfs/QmZobGwh7pUwPUqe1MPuNBPuBSFBVJdRC7quRtCZxcoBky,Violet Blue Background,Sahara Wings,Gecko Dragon,Rubik Scales,Barbed Spear Tail,Kodiak Ears,Confident Eyes,Nonchalant Mouth,Minotaur Horns,Sparky Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:08.054+05,2021-10-17 18:19:08.054+05
3773,8773,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8773,https://gateway.pinata.cloud/ipfs/QmXa2VXEvxACHZwgiWvTrLqCrx6Z8MKd4BDf7qqPUZ9P64,Goldenrod Background,Volcanic Wings,Albino Embrace Dragon,Jigsaw Scales,Penta Crystal Tail,White Minotaur Ears,Relieved Eyes,Avid Mouth,Battle X Horns,Crimson Rhino Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:08.061+05,2021-10-17 18:19:08.061+05
3774,8774,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8774,https://gateway.pinata.cloud/ipfs/QmfKD31AGKFTRjw4afnv2wZg2GhkL5PRcDXE6LqguNsBf1,Violet Blue Background,Purple Prism Wings,Corny Blue Dragon,Beehive Scales,Trident Tail,Sad Bat Ears,Enthusiastic Eyes,Nervous Mouth,Anchor Horns,Carnelian Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:08.067+05,2021-10-17 18:19:08.067+05
3775,8775,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8775,https://gateway.pinata.cloud/ipfs/QmZP7fa3G3KTv2c6mQVFaNexCeSYX5RLLKu7ULg9D3UsMH,Cider Background,Sahara Wings,Lightning Jade Dragon,Chain Link Scales,Fire Arrow Tail,Goat Ears,Drowsy Eyes,Jubilant Mouth,Kudu Horns,Crimson Rhino Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:08.068+05,2021-10-17 18:19:08.068+05
3776,8776,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8776,https://gateway.pinata.cloud/ipfs/Qmf6qQ8aPpdbFfhJQB48gpA2hkCRbYHu2V8NHdoVxhHHvQ,Leamon Spread Background,Mechanical Entrance Wings,Atomic Samurai Dragon,Gem Shield Scales,Mecha Godzilla Tail,Sphinx Ears,Aniscoria Eyes,Dumbfound Robot Mouth,Shank Horns,Marquise Mohawk Headpiece,Argon Mountain,Mechanical,Laser Beem,f,2021-10-17 18:19:08.069+05,2021-10-17 18:19:08.069+05
3777,8777,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8777,https://gateway.pinata.cloud/ipfs/Qmb6Sz266kL9povjsBBNZPjahjpfvCVHG8h8PL9f4HKQom,Ever Green Forest,Halloween Wings,Moon Stone Dragon,Black Rose Scales,Sea Horse Tail,White Hook Ears,Enraged Eyes,Sarcastic Mouth,Orange Ram Horns,Tuba Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:08.071+05,2021-10-17 18:19:08.071+05
3778,8778,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8778,https://gateway.pinata.cloud/ipfs/QmahpGi1dvzv5ExMuiwMHdZKzz7GyPY6yBgEHcsmUZnUJ7,Scottish Coral Background,Golden Stroke Wings,Lightning Jade Dragon,Green Vine Scales,Lucifer_s Tail,Cambion Ears,Unamused Eyes,Angry Fang Mouth,Nebula Horns,Tuba Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:08.078+05,2021-10-17 18:19:08.078+05
3779,8779,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8779,https://gateway.pinata.cloud/ipfs/QmZsNTi7WRmm5LwupPffffjmW1GP4KAj4y6BoswzHhoY3v,Olive Drab Background,Sahara Wings,Albino Embrace Dragon,Scallops Scales,Crystal Cleaved Tail,White Vampire Ears,Bewildered Eyes,Growling Mouth,Kudu Horns,Black Phantom Hair Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:08.08+05,2021-10-17 18:19:08.08+05
3780,8780,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8780,https://gateway.pinata.cloud/ipfs/QmNjHs5LFS9niGtuxbJRQ6FqL6hr3VNfEtS1YJcNJppqKJ,Pearl Blush Background,Chrono Wings,Lightning Jade Dragon,Smokey Distorted Scales,Fire Arrow Tail,Cambion Ears,Prideful Eyes,Sad Vampire Mouth,Small Stone Horns,Atlan Crown Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:08.081+05,2021-10-17 18:19:08.081+05
3781,8781,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8781,https://gateway.pinata.cloud/ipfs/QmXRNhdrtRhuVe3URiZdTuCoNRc1ekuC3u6J7hCs93Yaov,Turkish Background,Rouge Bat Wings,Fuscia Daisy Dragon,Ash Scales,Slug Tail,Butterfly Ears,Winking Eyes,Ecstatic Mouth,Maleficent Spectrum Horns,Richie Rich Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:08.081+05,2021-10-17 18:19:08.081+05
3782,8782,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8782,https://gateway.pinata.cloud/ipfs/QmeTpPTFc6qUhFVbowJnv5NAavxVYQSZsEfuRyjdL7spjS,Pineapple Lime Background,Devilish Palm Wings,Moon Stone Dragon,Shackles Scales,Sea Boulder Tail,Sail Ears,Confused Eyes,Craving Mouth,Battle X Horns,Emerald Crown Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:08.082+05,2021-10-17 18:19:08.082+05
3783,8783,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8783,https://gateway.pinata.cloud/ipfs/QmVGmFjspPRAzjc1ArsWkESQDD9QvJFT9ZuJo6gniGezga,Fandango Background,Flamingo Wings,Cheetah Dot Dragon,Pai Sho Scales,Bent arrow tail,Cotton Candy ears,Envy Eyes,Nervous Mouth,Nebula Horns,Fin Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:08.083+05,2021-10-17 18:19:08.083+05
3784,8784,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8784,https://gateway.pinata.cloud/ipfs/QmQa7cSMfaMN8DdGqbWgRBLUJ2VX9E5ceBaLB91oTXDMZZ,Pastel Green Background,Onyx Wings,Smokey Sriracha Dragon,Leis Scales,Lance Tail,Uchiwa Ears,Astonish Eyes,Cat Mouth,Snail Shell Horns,Funky Mohican Hair Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:19:08.084+05,2021-10-17 18:19:08.084+05
3785,8785,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8785,https://gateway.pinata.cloud/ipfs/QmcCk6ooumfbGjZNu9typnfxKd533Q5SVZmVHZSXmZeSSv,Palantinate Blue Background,Transveral Blue Wings,Vanilla Meteorite Dragon,Grilled Scales,Barbed Fuscia Tail,Slashed Puffy Ears,Focused Eyes,Smiling Bunny Mouth,Snail Shell Horns,Purple S Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:08.084+05,2021-10-17 18:19:08.084+05
3786,8786,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8786,https://gateway.pinata.cloud/ipfs/Qmc3K4QdDQb3JdMYNdgq7EYm8mPvvhAkpBxcoj5m3qU1GQ,Deep Pink Orchid Background,Evergreen Wings,Vanilla Meteorite Dragon,Grilled Scales,Jaguar Tail,Orc Ears,Bugged Eyes,Geeky Mouth,Nebula Horns,Wreath Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:08.085+05,2021-10-17 18:19:08.085+05
3787,8787,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8787,https://gateway.pinata.cloud/ipfs/Qmbr3q8tp2nzFuijDiUv88S4FNqhUgrqRfTSvxVT59MjWz,Blue-gray Background,Rouge Bat Wings,Bloodhound Dragon,Chain Link Scales,Red Spark Tail,Cape Buffalo Ears,Focused Eyes,Melancholic Mouth,Battle X Horns,Fin Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:19:08.086+05,2021-10-17 18:19:08.086+05
3788,8788,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8788,https://gateway.pinata.cloud/ipfs/QmQgbubTmHAff2MTcywL9GcpoFd6qZy6FThGSJtVb1vvrx,Glaucous Background,Transveral Blue Wings,Fuscia Daisy Dragon,Root Scales,Tefarn Hot Pink Tail,Thought Bubble Ears,Inquisitive Eyes,Tenacious Mouth,Juvenile Minotaur Horns,Scythe Hair Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:08.086+05,2021-10-17 18:19:08.086+05
3789,8789,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8789,https://gateway.pinata.cloud/ipfs/QmZjPCnmtvdk3Vt8DpzASc7cd3bZ8LKJjpdppoHMWqFYc2,Pink Punch Background,Ashy Twig Wings,Bloodhound Dragon,Chevron Scales,Bloody Cyclone Tail,Rooster Comb Ears,Spooked Eyes,Melancholic Mouth,Devil Horns,Atlan Crown Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:19:08.087+05,2021-10-17 18:19:08.087+05
3790,8790,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8790,https://gateway.pinata.cloud/ipfs/QmScVBYEYhGhJxfk4CVwjDYc5C3ZQru1xX1od7QUfRMcYg,Green Spring Background,Taffy Turquoise Wings,Albino Embrace Dragon,Beehive Scales,Horny Chameleon Tail,White Minotaur Ears,Prideful Eyes,Cat Mouth,Nebula Horns,Richie Rich Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:08.088+05,2021-10-17 18:19:08.088+05
3791,8791,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8791,https://gateway.pinata.cloud/ipfs/QmW9aB4nUqFWtjrxMb66wik7tXvmD3aF3JeREo1nJ2qwQu,Deep Sky Blue Background,Obsidian Wings,Fuscia Daisy Dragon,Ikat Scales,Tefarn Hot Pink Tail,Cloudy Ears,Thinking Eyes,Orc Mouth,Moose Horns,Wreath Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:08.088+05,2021-10-17 18:19:08.088+05
3792,8792,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8792,https://gateway.pinata.cloud/ipfs/QmTCmJsnaUC6HgZSD7deeKraZshukdi43iRjQoaduSQxvm,Peach Puff Background,Sahara Wings,Tiger Stripped Dragon,Noodle Scales,Orange Spade Tail,War Horn Ears,Enthusiastic Eyes,Resolute Mouth,Demon Horns,Black Phantom Hair Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:19:08.09+05,2021-10-17 18:19:08.09+05
3793,8793,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8793,https://gateway.pinata.cloud/ipfs/QmZgYtj4veTebcxBAQzcQht3MF9zauMHqCpMds2RzfKmcK,Corn Nebula Background,Dijon Wings,Corny Blue Dragon,Elliptical Scales,Split Armored Tail,Cerulean Ears,Weeping Eyes,Crooked Sabretooth Mouth,Moose Horns,Cyclone Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:08.092+05,2021-10-17 18:19:08.092+05
3794,8794,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8794,https://gateway.pinata.cloud/ipfs/QmZFH3bWbzYHRQ24fbimxfi9dDCSSpDgvefyB3gKCn9VVm,Sienna Gold Background,Parrot Wings,Cheetah Dot Dragon,Elliptical Scales,Hungarian Horn Tail,Whale ears,Insomnia Eyes,Suffering Mouth,Juvenile Minotaur Horns,Whirlpool Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:08.094+05,2021-10-17 18:19:08.094+05
3795,8795,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8795,https://gateway.pinata.cloud/ipfs/QmaqSJEu4dze1VZ9ziBxTFrRe7qn6aNcwHHyhof4JQByvu,Lilac Background,Vampire Wings,Albino Embrace Dragon,Leis Scales,Penta Crystal Tail,Moon Light Ears,Sharp Eyes,Yawning Mouth,Fire Horns,Tornado Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:08.095+05,2021-10-17 18:19:08.095+05
3796,8796,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8796,https://gateway.pinata.cloud/ipfs/QmVEEeSiX5A99KZbL1p9HKZqtUk2MZPB3VBdfJwTSk7oWJ,Sienna Gold Background,Armada Twine Wings,Electro Yale Dragon,Black Rose Scales,Striped GoldFish Tail,Puffy Ears,Inquisitive Eyes,Sad Vampire Mouth,Maleficent Spectrum Horns,Golden Moon Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:19:08.096+05,2021-10-17 18:19:08.096+05
3797,8797,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8797,https://gateway.pinata.cloud/ipfs/QmNdwW4jyHLpKu5mZ33banZvBDSFCNQPA82JzEZysxrE3u,Exposed Shadow Background,Devilish Palm Wings,Gecko Dragon,Totem Scales,Tentacle Tail,Fortune Cookie Ears,Weeping Eyes,Geeky Mouth,Moose Horns,Fin Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:08.097+05,2021-10-17 18:19:08.097+05
3798,8798,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8798,https://gateway.pinata.cloud/ipfs/QmeJugoC53nRYhAzeJZujkYb1FVDKSy64M7eKfyN8Ssx3X,Palantinate Blue Background,Pixie Wings,Bloodhound Dragon,Chain Link Scales,Maroon Boomerang Tail,Rooster Comb Ears,Enlightened Eyes,Gratified Mouth,Kudu Horns,Layered Opal Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:19:08.108+05,2021-10-17 18:19:08.108+05
3799,8799,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8799,https://gateway.pinata.cloud/ipfs/QmeyoHnpLT8CRVs94txvG55VjMSYimzeoAHHva3WdbrkGC,Aurora Dark Pink Background,Sapphire Wings,Aqua Spiral Dragon,Noodle Scales,Crumpled Arrow Tail,Bison Ears,Prideful Eyes,Saucy Mouth,Orange Ram Horns,Crimson Rhino Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:19:08.11+05,2021-10-17 18:19:08.11+05
3800,8800,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8800,https://gateway.pinata.cloud/ipfs/QmQhRvggKy9Mn4cCaavU7xDdp7ErDp5UfzVYoDeBmJriQ9,Floral Background,Pterodactyl Wings,Tiger Stripped Dragon,Chevron Scales,Tiger Tail,War Horn Ears,Prideful Eyes,Orc Mouth,Beast Horns,Layered Opal Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:19:08.112+05,2021-10-17 18:19:08.112+05
3801,8801,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8801,https://gateway.pinata.cloud/ipfs/QmQ1Kzp8MjW7b5DL7DcWwtjJGV5PAyfstE5gmf9T3vyBo3,Sienna Gold Background,Rouge Bat Wings,Ocean Blue Dragon,Basket Weave Scales,Fletching Tail,Marine Bat Ears,Goo Goo Eyes,Antagonized Mouth,Minotaur Horns,Cyclone Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:19:08.112+05,2021-10-17 18:19:08.112+05
3802,8802,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8802,https://gateway.pinata.cloud/ipfs/QmVoRAQMjMWqDh8oJZoM7k8wUza2CV17LVBsqhnLxCmqq9,Goldenrod Background,Azure Wings,Snow Leopard Dragon,Maze Scales,Pangolin Tail,Cyan Snail Ears,Weary Eyes,Dracula Mouth,Maleficient Horns,Crescent Spring Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:19:08.113+05,2021-10-17 18:19:08.113+05
3803,8803,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8803,https://gateway.pinata.cloud/ipfs/QmeiRrEiD4JZ3PD3PVmM3BWYeDFEGMFj4xU3pcmrLWynAQ,Aurora Dark Pink Background,Parrot Wings,Ocean Blue Dragon,Rubik Scales,Clasped Thorn Tail,Tulip Ears,Insomnia Eyes,Talkative Mouth,Mountain Ram Horns,Tornado Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:19:08.114+05,2021-10-17 18:19:08.114+05
3804,8804,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8804,https://gateway.pinata.cloud/ipfs/QmavSUkjTVB2mv6EQ51e6U3pdpfVouPbnwe28yBBobuTb9,Hot Pink Background,Taffy Turquoise Wings,Gecko Dragon,Diamondback Scales,Jaguar Tail,Pointy Bat Ears,Troubled Eyes,Grumpy Mouth,Minotaur Horns,Vision Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:08.115+05,2021-10-17 18:19:08.115+05
3805,8805,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8805,https://gateway.pinata.cloud/ipfs/Qmd6CYn3TzkxQBiwmeASiMk6XKmtq1hFQZzqYEzkUggPsF,Columbia Blue Background,Chrono Wings,Ocean Blue Dragon,Alligator Scales,Scaly Rattle Tail,Yale Genie Ears,Insomnia Eyes,Jubilant Mouth,Kudu Horns,Tornado Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:19:08.115+05,2021-10-17 18:19:08.115+05
3806,8806,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8806,https://gateway.pinata.cloud/ipfs/QmPj8rvn5adiN7weecVpqrPwGc73mdNUpBj6x67Jpx4PRm,Deep Pink Orchid Background,Pixie Wings,Rosie Pink Dragon,Black Rose Scales,Sliding Band Tail,Cornflower Miotaur Ears,Insomnia Eyes,Nerdy Mouth,Hell Boy Horns,Emerald Crown Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:19:08.116+05,2021-10-17 18:19:08.116+05
3807,8807,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8807,https://gateway.pinata.cloud/ipfs/QmY6F5QgEKmX3Uc8T4BDq3QeTTK7dRWFnqb1Qn8mZgE91G,Golden Orange Background,Crimson Bat Wings,Lilac Blue Dragon,Diamondback Scales,Crooked Tail,Valkyrie Ears,Enlightened Eyes,Resolute Mouth,Snail Shell Horns,Star Sapphire Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:19:08.117+05,2021-10-17 18:19:08.117+05
3808,8808,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8808,https://gateway.pinata.cloud/ipfs/QmdvNCsbT2KToc9azxS7BJjcrY8X9uSAVwwoz1xn7ezpaJ,Carolina Flamingo Background,Parrot Wings,Rosie Pink Dragon,Horus Eye Scales,Pink Rose Tail,Lizard Feet Ears,Arrogant Eyes,Nervous Mouth,Antelope Horns,Emerald Crown Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:19:08.117+05,2021-10-17 18:19:08.117+05
3809,8809,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8809,https://gateway.pinata.cloud/ipfs/QmbgsCosvevqMUeGk2BqnAX2DdVEvErYDSmMYqqCfPZUdQ,Columbia Blue Background,Golden Mocha Wings,Gecko Dragon,Checker Scales,Spade Tail,Kodiak Ears,Envy Eyes,Drool Mouth,Maleficent Spectrum Horns,Funky Mohican Hair Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:08.118+05,2021-10-17 18:19:08.118+05
3810,8810,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8810,https://gateway.pinata.cloud/ipfs/QmZtQtm6938x5RCEofgHh5h5s4FhSQEd7tBwwU2HeV6itg,Nagaland Background,Halloween Wings,Smokey Sriracha Dragon,Jigsaw Scales,Foxy Tail,Injured Sheep Ears,Domineering Eyes,Nervous Mouth,G Horns,Fin Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:19:08.119+05,2021-10-17 18:19:08.119+05
3811,8811,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8811,https://gateway.pinata.cloud/ipfs/QmazYSnZoynHGwpoJ9vFQoNzof2uTm8DTkYaGREiXEgEsD,Pink Punch Background,Sahara Wings,Flamy Dragon,Twirling Scales,Yellow Spotted Tail,Honey Butterfly Ears,Pretty Eyes,Yawning Mouth,Springbok Horns,Star Sapphire Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:19:08.12+05,2021-10-17 18:19:08.12+05
3812,8812,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8812,https://gateway.pinata.cloud/ipfs/QmYJu9B4UtRdci8UhoMNfQzdfviqyRBvJ5Lz5MUuBgEVEQ,Lilac Background,Rouge Bat Wings,Windstorm Dragon,Shackles Scales,Stingray Tail,Goldfish Fin Ears,Furious Eyes,Bulldog Mouth,Battle X Horns,Golden Mohawk Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:19:08.122+05,2021-10-17 18:19:08.122+05
3813,8813,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8813,https://gateway.pinata.cloud/ipfs/QmV3VKFe71TkveQCya9QtbDmQR6VBysborTGK8gyQ9ov4A,Tomato Pink Background,Desert Inferno Wings,Cheetah Dot Dragon,Black Rose Scales,Bent arrow tail,Whale ears,Spooked Eyes,Crooked Sabretooth Mouth,Springbok Horns,Black Phantom Hair Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:08.129+05,2021-10-17 18:19:08.129+05
